customer_key,customer_id,customer_name,sub_trade_channel,trade_channel,super_channel,business_segment,business_type,sales_organization,sales_office,market_unit,cdm_tier
1803,500962068,TM NORTONS TAP ROOM,BAR/TAVERN,BAR/TAVERN/LICENSED ESTABLISHMENT,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"ANDERSON, IN",MID WEST MUGM,
1804,500962106,STOP AND GO #0068,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LIMA, OH",MID WEST MUGM,
1805,500962165,DOLLAR GENERAL #20917,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"LAVERGNE, TN",MID SOUTH MUGM,
1806,500963080,TRU BY HILTON CVG,HOTEL/MOTEL/RESORT/I,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1807,500963810,STOP AND GO #0074,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
1808,500963938,KWIK FILL #0375,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"HAGERSTOWN, MD",MID ATLANTIC MUGM,
1809,500963972,STOP AND GO #0073,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
1810,500964193,CASEYS GENERAL STORE #3467,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1811,500964217,IANS #0062,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
1812,500964305,PARKERS #0071,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CHARLESTON, SC",CAROLINAS MUGM,
1813,500964648,RAIDER REFRESHMENTS,EDUCATION - NON REST,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,DSD,CCBCC Operations,"GREENVILLE, SC",CAROLINAS MUGM,
1814,500964838,BLOOMING TOWN LLC,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MEMPHIS, TN",MID SOUTH MUGM,
1815,500965384,SHEETZ #0674,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"FREDERICKSBURG, VA",MID ATLANTIC MUGM,
1816,500966836,LA MART ALEXANDRIA,INDEPENDENT SUPERMAR,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ALEXANDRIA, VA",MID ATLANTIC MUGM,
1817,500966986,BEP LEOS VENDING,OTHER GOVERNMENT INS,GOVERNMENT (NON-MILITARY),AT-WORK,ON PREMISE,DSD,CCBCC Operations,"WHITESTOWN, IN",MID WEST MUGM,
1818,500967240,BRENTWOOD MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LAVERGNE, TN",MID SOUTH MUGM,
1819,500967267,C145 EE CONSUMPTION SALES,BOTTLER HOUSE SALES,BOTTLER HOUSE SALES,BOTTLER HOUSE SALES,BOTTLER HOUSE SALES,Staff Customer,CCBCC Operations,"WHITESTOWN, IN",MID WEST MUGM,
1820,500967685,MASON CTY MS TCH VENDING,EDUCATION - NON REST,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1821,500968470,KRIYAN INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MORRISTOWN, TN",MID SOUTH MUGM,
1822,500968493,DOLLAR GENERAL #20314,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MARION, SC",CAROLINAS MUGM,
1823,500969187,ARA STUD UNION POD,UNIVERSITY,COLLEGE/UNIVERSITY,EDUCATIONAL,ON PREMISE,DSD,CCBCC Operations,"MEMPHIS, TN",MID SOUTH MUGM,
1824,500969418,PAR MAR #0116,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CHARLESTON, WV",CENTRAL MUGM,
1825,500969486,MILTON EXXON,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CHARLESTON, WV",CENTRAL MUGM,
1826,500969608,OUTER LOOP PEDDLERS MALL OUTSIDE,OTHER SPECIALTY SERV,RETAIL SPECIALTY SERVICES,RETAIL ON PREMISE,ON PREMISE,FSV - Full Service,CCBCC Operations,"LOUISVILLE, KY",CENTRAL MUGM,
1827,500970091,ZORAWAR MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"WHITESTOWN, IN",MID WEST MUGM,
1828,500970439,EASTBROOK HIGH ATHLETICS,OTHER AMUSEMENT,AMUSEMENT,AMUSEMENT/RECREATION/LEISURE,ON PREMISE,DSD,CCBCC Operations,"ANDERSON, IN",MID WEST MUGM,
1829,500970592,BEST FUELS LLC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1830,500972072,LIDL #1108,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"CAPITOL HEIGHTS, MD",MID ATLANTIC MUGM,
1831,500975144,SURGE,OTHER AMUSEMENT,AMUSEMENT,AMUSEMENT/RECREATION/LEISURE,ON PREMISE,DSD,CCBCC Operations,"NORFOLK, VA",MID ATLANTIC MUGM,
1832,500976468,DOLLAR GENERAL #20441,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"GREENVILLE, SC",CAROLINAS MUGM,
1833,500976908,DUCHESS #1275,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ZANESVILLE, OH",MID WEST MUGM,
1834,500976960,GRAHAM CONVENIENCE,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MEMPHIS, TN",MID SOUTH MUGM,
1835,500976973,CIRCLE K #2704589,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"NEW BERN, NC",CAROLINAS MUGM,
1836,500977003,EXCELLENT LT LLC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LEXINGTON, KY",CENTRAL MUGM,
1837,500977123,ISLANDS FRESH MEX GRILL,QSR-MEXICAN,QUICK SERVICE RESTAURANT- QSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"LELAND, NC",CAROLINAS MUGM,
1838,500977430,CERTIFIED OIL #0004,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1839,500977505,CERTIFIED OIL #0434,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1840,500977508,CERTIFIED OIL #0211,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1841,500977515,CERTIFIED OIL #0139,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1842,500977536,CERTIFIED OIL #0334,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"FINDLAY, OH",MID WEST MUGM,
1843,500977543,CERTIFIED OIL #0432,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1844,500977546,CERTIFIED OIL #0410,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"AKRON, OH",MID WEST MUGM,
1845,500977547,CERTIFIED OIL #0243,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ELYRIA, OH",MID WEST MUGM,
1846,500977551,CERTIFIED OIL #0458,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"YOUNGSTOWN, OH",MID WEST MUGM,
1847,500977554,CERTIFIED OIL #0402,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1848,500977787,CLOVERDALE TRUCK PLAZA,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"WHITESTOWN, IN",MID WEST MUGM,
1849,500978260,ABBEY MART OF MS INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MEMPHIS, TN",MID SOUTH MUGM,
1850,500978848,FREUDENBERGS MINI MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"EVANSVILLE, IN",MID WEST MUGM,
1851,500978965,COMPARE FOODS SPRING LAKE,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"FAYETTEVILLE, NC",CAROLINAS MUGM,
1852,500979383,WESTBURY HARDWARE,OTHER SPECIALTY SERV,RETAIL SPECIALTY SERVICES,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"CHARLESTON, SC",CAROLINAS MUGM,
1853,500979479,DOLLAR GENERAL #21247,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1854,500979754,QUICK ON THE WAY,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1855,500980299,CK MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"COLUMBIA, SC",CAROLINAS MUGM,
1856,500980584,THREE RIVERS BEHAVIORAL HEALTH,OTHER HEALTH/HOSPITA,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"COLUMBIA, SC",CAROLINAS MUGM,
1857,500980801,TJ MAXX #0010,OTHER GENERAL MERCHA,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"CHARLOTTE, NC",CAROLINAS MUGM,
1858,500980841,FRANKFORT HS CONCESSIONS,OTHER AMUSEMENT,AMUSEMENT,AMUSEMENT/RECREATION/LEISURE,ON PREMISE,DSD,CCBCC Operations,"LEXINGTON, KY",CENTRAL MUGM,
1859,500981486,BAY VIEW CTR,LIQUOR/BEER/WINE-OP,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"ELYRIA, OH",MID WEST MUGM,
1860,500981704,DOLLAR GENERAL #20559,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MARION, SC",CAROLINAS MUGM,
1861,500981729,UMBC ITE GROUND FLOOR CAFE,UNIVERSITY,COLLEGE/UNIVERSITY,EDUCATIONAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"BALTIMORE, MD",MID ATLANTIC MUGM,
1862,500982202,BIG LOTS #5407,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"GREENVILLE, SC",CAROLINAS MUGM,
1863,500982380,7 ELEVEN #38721,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CHARLOTTE, NC",CAROLINAS MUGM,
1864,500985039,ROMA PIZZA AND PASTA,QSR-PIZZA,QUICK SERVICE RESTAURANT- QSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"LAVERGNE, TN",MID SOUTH MUGM,
1865,500985051,HUMANAHUB #51480,OTHER HEALTH/HOSPITA,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"LOUISVILLE, KY",CENTRAL MUGM,
1866,500985321,AW WHITEHOUSE PRIMARY PRINCIPAL FUND TL,EDUCATION - NON REST,PRIMARY/SECONDARY SCHOOL,EDUCATIONAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"TOLEDO, OH",MID WEST MUGM,
1867,500985645,DOLLAR GENERAL #20205,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1868,500985709,PUGHS FIVE STAR TIRE AND SERVICE,OTHER AUTOMOTIVE SER,AUTOMOTIVE SERVICES,RETAIL ON PREMISE,ON PREMISE,FSV - Full Service,CCBCC Operations,"LAVERGNE, TN",MID SOUTH MUGM,
1869,500986198,RAPID STOP #0001,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CAMDEN, AR",MID SOUTH MUGM,
1870,500986890,AIRPORT MARATHON,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"DAYTON, OH",MID WEST MUGM,
1871,500987476,HARTFORD FOOD MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ANDERSON, IN",MID WEST MUGM,
1872,500987531,SERV N GO #0022,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LAVERGNE, TN",MID SOUTH MUGM,
1873,500987539,CVS #11180,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"CAPITOL HEIGHTS, MD",MID ATLANTIC MUGM,
1874,500988022,THE LINK DISCOUNT LIQOUR,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LITTLE ROCK, AR",MID SOUTH MUGM,
1875,500988030,DAVES MART AND GRILL,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CLAYTON, NC",CAROLINAS MUGM,
1876,500988958,KROGER #0513,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1877,500989082,SPONSORSHIP POWERADE STATE GAMES,BOTTLER HOUSE SALES,BOTTLER HOUSE SALES,BOTTLER HOUSE SALES,BOTTLER HOUSE SALES,DSD,CCBCC Operations,"CLAYTON, NC",CAROLINAS MUGM,
1878,500989282,SAINT MONICA INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MEMPHIS, TN",MID SOUTH MUGM,
1879,500989471,RAPID RUN CARRY OUT,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1880,500989907,WILKMART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CHARLOTTE, NC",CAROLINAS MUGM,
1881,500990294,DOLLAR TREE #8270,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"MANSFIELD, OH",MID WEST MUGM,
1882,500990401,RIVERVIEW MEDICAL PLAZA LOBBY,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"CHARLESTON, WV",CENTRAL MUGM,
1883,500990423,SEDALIA COUNTRY STORE,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ROANOKE SATELLITE, VA",MID ATLANTIC MUGM,
1884,500990545,MINUTEMAN #0048,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LELAND, NC",CAROLINAS MUGM,
1885,500990854,QUICK TRIP I INC,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"WHITESTOWN, IN",MID WEST MUGM,
1886,500990856,ALDI #L418,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"CAPITOL HEIGHTS, MD",MID ATLANTIC MUGM,
1887,500991224,BELLSTORES #1157,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MANSFIELD, OH",MID WEST MUGM,
1888,500992487,K S MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"HICKORY, NC",CAROLINAS MUGM,
1889,500992607,HAMPTON INN DOWNTOWN WINSTON,HOTEL/MOTEL/RESORT/I,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1890,500992852,DOLLAR GENERAL #21480,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"ALEXANDRIA, VA",MID ATLANTIC MUGM,
1891,500994153,BEE BRANCH SNAPPY MART #1318,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LITTLE ROCK, AR",MID SOUTH MUGM,
1892,500994709,DOLLAR GENERAL #20502,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1893,500995667,DOLLAR GENERAL #20075,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"SANDSTON, VA DC",MID ATLANTIC MUGM,
1894,500995796,SUMMIT BEHAVIORAL HEALTHCARE,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1895,500995845,DOLLAR GENERAL #20536,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"NORFOLK, VA",MID ATLANTIC MUGM,
1896,500995952,DOLLAR GENERAL #20511,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"YOUNGSTOWN, OH",MID WEST MUGM,
1897,500996995,ST V CAFE 2,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"EVANSVILLE, IN",MID WEST MUGM,
1898,500997198,ST V ER,HOSPITAL,HEALTH/HOSPITAL,HEALTH/HOSPITAL,ON PREMISE,FSV - Full Service,CCBCC Operations,"EVANSVILLE, IN",MID WEST MUGM,
1899,500997317,MI LINDO CANCUN,FSR-MEXICAN,FULL SERVICE RESTAURANT-FSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"BALTIMORE, MD",MID ATLANTIC MUGM,
1900,500997945,COCA COLA CAFE BOTTLE,OTHER BUSINESS AND P,BUSINESS & PROFESSIONAL OFFICE,AT-WORK,ON PREMISE,FSV - Full Service,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1901,500998654,71 GROCERY AND GRILL,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"FAYETTEVILLE, NC",CAROLINAS MUGM,
1902,500998798,SPEEDWAY #7236,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ELYRIA, OH",MID WEST MUGM,
1903,501000311,KUSH FOOD MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENVILLE, SC",CAROLINAS MUGM,
1904,501000508,MISSILE MART #0635,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CAMDEN, AR",MID SOUTH MUGM,
1905,501000707,MISSILE MART #0626,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CAMDEN, AR",MID SOUTH MUGM,
1906,501000725,MOBIL NORTHWEST #0630,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CAMDEN, AR",MID SOUTH MUGM,
1907,501001921,GASMART #0003,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"HAGERSTOWN, MD",MID ATLANTIC MUGM,
1908,501002399,HAMPTON HOTEL,HOTEL/MOTEL/RESORT/I,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,DSD,CCBCC Operations,"LOUISVILLE, KY",CENTRAL MUGM,
1909,501002455,QUICK MART OF HIGH POINT,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1910,501002483,DUCK THRU #0057,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENVILLE, NC",CAROLINAS MUGM,
1911,501002644,SUNLIGHT EXPRESS,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"MEMPHIS, TN",MID SOUTH MUGM,
1912,501002910,CASHS #4469,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"CAMDEN, AR",MID SOUTH MUGM,
1913,501003375,RACE TRAC #2527 AGY,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LAVERGNE, TN",MID SOUTH MUGM,
1914,501004359,UNITED DAIRY FARMERS #0184,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1915,501004964,DOLLAR GENERAL #20963,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"PADUCAH, KY",MID SOUTH MUGM,
1916,501006317,BP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENVILLE, SC",CAROLINAS MUGM,
1917,501006524,TONYS NEW YORK PIZZA,QSR-PIZZA,QUICK SERVICE RESTAURANT- QSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"FREDERICKSBURG, VA",MID ATLANTIC MUGM,
1918,501006650,DOMINOS #4205,QSR-PIZZA,QUICK SERVICE RESTAURANT- QSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"NORFOLK, VA",MID ATLANTIC MUGM,
1919,501006930,LIDL #1419,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"BALTIMORE, MD",MID ATLANTIC MUGM,
1920,501007168,TARGET #2487,OTHER HYPER MERCHAND,HYPER-MERCHANDISER,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,COLUMBUS RICKENBACKER,MID WEST MUGM,
1921,501008296,HARRIS TEETER #0366 SPARKLING,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"CHARLOTTE, NC",CAROLINAS MUGM,
1922,501008501,QUICK STOP,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"ERLANGER, KY",CENTRAL MUGM,
1923,501009480,MOUNTAIN VIEW CITGO,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1924,501009650,GAS N GO,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"GREENSBORO, NC",CAROLINAS MUGM,
1925,501009855,GOPUFF BALTIMORE ESSEX #0004,ECOMMERCE LARGE STOR,ECOMMERCE LARGE STORE,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"BALTIMORE, MD",MID ATLANTIC MUGM,
1926,501010907,ELDERS ACE HARDWARE,HARDWARE/HOME IMPROV,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
1927,501011001,GUSTAVOS MEXICAN GRILL,FSR-MEXICAN,FULL SERVICE RESTAURANT-FSR,EATING & DRINKING,ON PREMISE,DSD,CCBCC Operations,"LOUISVILLE, KY",CENTRAL MUGM,
1928,501011187,BIG RED #0153,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"LITTLE ROCK, AR",MID SOUTH MUGM,
