youth_id,assessment_date,literacy_score,digital_learning_completion
Y0547,2023-04-15,68,53
Y0548,2023-04-15,63,48
Y0549,2023-04-15,67,59
Y0550,2023-04-15,69,66
Y0551,2023-04-15,54,34
Y0552,2023-04-15,55,40
Y0553,2023-04-15,61,60
Y0554,2023-04-15,62,51
Y0555,2023-04-15,72,72
Y0556,2023-04-15,67,62
Y0557,2023-04-15,55,42
Y0558,2023-04-15,74,63
Y0559,2023-04-15,78,58
Y0560,2023-04-15,63,60
Y0561,2023-04-15,71,60
Y0562,2023-04-15,58,38
Y0563,2023-04-15,68,68
Y0564,2023-04-15,65,49
Y0565,2023-04-15,58,58
Y0566,2023-04-15,60,44
Y0567,2023-04-15,74,56
Y0568,2023-04-15,70,69
Y0569,2023-04-15,81,78
Y0570,2023-04-15,73,60
Y0571,2023-04-15,76,73
Y0572,2023-04-15,64,45
Y0573,2023-04-15,51,41
Y0574,2023-04-15,68,59
Y0575,2023-04-15,74,66
Y0576,2023-04-15,62,42
Y0577,2023-04-15,77,70
Y0578,2023-04-15,77,65
Y0579,2023-04-15,63,44
Y0580,2023-04-15,67,58
Y0581,2023-04-15,81,61
Y0582,2023-04-15,65,56
Y0583,2023-04-15,72,61
Y0584,2023-04-15,64,57
Y0585,2023-04-15,72,72
Y0586,2023-04-15,69,50
Y0587,2023-04-15,61,42
Y0588,2023-04-15,73,56
Y0589,2023-04-15,74,54
Y0590,2023-04-15,68,56
Y0591,2023-04-15,58,42
Y0592,2023-04-15,60,48
Y0593,2023-04-15,57,52
Y0594,2023-04-15,82,76
Y0595,2023-04-15,68,51
Y0596,2023-04-15,81,80
Y0597,2023-04-15,70,60
Y0598,2023-04-15,75,66
Y0599,2023-04-15,53,43
Y0600,2023-04-15,61,48
Y0601,2023-04-15,58,40
Y0602,2023-04-15,65,52
Y0603,2023-04-15,62,47
Y0604,2023-04-15,69,68
Y0605,2023-04-15,66,56
Y0606,2023-04-15,68,51
Y0607,2023-04-15,57,44
Y0608,2023-04-15,63,52
Y0609,2023-04-15,57,53
Y0610,2023-04-15,54,38
Y0611,2023-04-15,69,64
Y0612,2023-04-15,63,51
Y0613,2023-04-15,72,59
Y0614,2023-04-15,65,47
Y0615,2023-04-15,77,66
Y0616,2023-04-15,71,58
Y0617,2023-04-15,80,77
Y0618,2023-04-15,56,53
Y0619,2023-04-15,63,63
Y0620,2023-04-15,67,66
Y0621,2023-04-15,62,48
Y0622,2023-04-15,68,52
Y0623,2023-04-15,52,35
Y0624,2023-04-15,58,40
Y0625,2023-04-15,66,56
Y0626,2023-04-15,57,56
Y0627,2023-04-15,70,60
Y0628,2023-04-15,62,44
Y0629,2023-04-15,79,60
Y0630,2023-04-15,56,36
Y0631,2023-04-15,77,63
Y0632,2023-04-15,77,65
Y0633,2023-04-15,58,40
Y0634,2023-04-15,58,53
Y0635,2023-04-15,79,64
Y0636,2023-04-15,80,75
Y0637,2023-04-15,72,59
Y0638,2023-04-15,55,39
Y0639,2023-04-15,58,43
Y0640,2023-04-15,66,58
Y0641,2023-04-15,67,49
Y0642,2023-04-15,63,60
Y0643,2023-04-15,57,53
Y0644,2023-04-15,64,51
Y0645,2023-04-15,51,49
Y0646,2023-04-15,78,74
Y0647,2023-04-15,70,50
Y0648,2023-04-15,70,58
Y0649,2023-04-15,69,51
Y0650,2023-04-15,59,51
Y0651,2023-04-15,65,63
Y0652,2023-04-15,63,60
Y0653,2023-04-15,74,63
Y0654,2023-04-15,58,53
Y0655,2023-04-15,55,37
Y0656,2023-04-15,60,56
Y0657,2023-04-15,79,67
Y0658,2023-04-15,76,66
Y0659,2023-04-15,70,61
Y0660,2023-04-15,76,72
Y0661,2023-04-15,77,63
Y0662,2023-04-15,73,68
Y0663,2023-04-15,68,50
Y0664,2023-04-15,56,37
Y0665,2023-04-15,54,52
Y0666,2023-04-15,68,52
Y0667,2023-04-15,67,59
Y0668,2023-04-15,74,60
Y0669,2023-04-15,66,55
Y0670,2023-04-15,63,54
Y0671,2023-04-15,59,41
Y0672,2023-04-15,56,55
Y0673,2023-04-15,66,55
Y0674,2023-04-15,75,64
Y0675,2023-04-15,60,47
Y0676,2023-04-15,78,60
Y0677,2023-04-15,74,65
Y0678,2023-04-15,52,37
Y0679,2023-04-15,71,60
Y0680,2023-04-15,60,56
Y0681,2023-04-15,64,46
Y0682,2023-04-15,68,68
Y0683,2023-04-15,56,51
Y0684,2023-04-15,63,48
Y0685,2023-04-15,76,68
Y0686,2023-04-15,52,46
Y0687,2023-04-15,51,40
Y0688,2023-04-15,73,66
Y0689,2023-04-15,74,71
Y0690,2023-04-15,58,57
Y0691,2023-04-15,52,37
Y0692,2023-04-15,74,57
Y0693,2023-04-15,65,50
Y0694,2023-04-15,55,37
Y0695,2023-04-15,59,42
Y0696,2023-04-15,64,61
Y0697,2023-04-15,74,60
Y0698,2023-04-15,72,65
Y0699,2023-04-15,76,73
Y0700,2023-04-15,77,69
Y0701,2023-04-15,70,68
Y0702,2023-04-15,72,54
Y0703,2023-04-15,62,53
Y0704,2023-04-15,83,78
Y0705,2023-04-15,78,77
Y0706,2023-04-15,63,50
Y0707,2023-04-15,62,58
Y0708,2023-04-15,78,78
Y0709,2023-04-15,69,53
Y0710,2023-04-15,52,40
Y0711,2023-04-15,75,71
Y0712,2023-04-15,57,52
Y0713,2023-04-15,62,44
Y0714,2023-04-15,73,63
Y0715,2023-04-15,68,49
Y0716,2023-04-15,69,66
Y0717,2023-04-15,66,49
Y0718,2023-04-15,81,81
Y0719,2023-04-15,74,72
Y0720,2023-04-15,58,49
Y0721,2023-04-15,62,60
Y0722,2023-04-15,80,73
Y0723,2023-04-15,83,72
Y0724,2023-04-15,56,40
Y0725,2023-04-15,62,54
Y0726,2023-04-15,75,68
Y0727,2023-04-15,60,42
Y0728,2023-04-15,66,62
Y0729,2023-04-15,70,54
Y0730,2023-04-15,81,67
Y0731,2023-04-15,61,55
Y0732,2023-04-15,76,74
Y0733,2023-04-15,66,49
Y0734,2023-04-15,66,46
Y0735,2023-04-15,55,49
Y0736,2023-04-15,70,67
Y0737,2023-04-15,61,60
Y0738,2023-04-15,68,54
Y0739,2023-04-15,72,55
Y0740,2023-04-15,77,57
Y0741,2023-04-15,59,58
Y0742,2023-04-15,71,70
Y0743,2023-04-15,69,63
Y0744,2023-04-15,69,57
Y0745,2023-04-15,62,47
Y0746,2023-04-15,60,60
Y0747,2023-04-15,54,40
Y0748,2023-04-15,51,47
Y0749,2023-04-15,79,71
Y0750,2023-04-15,65,54
Y0751,2023-04-15,81,81
Y0752,2023-04-15,59,44
Y0753,2023-04-15,75,55
Y0754,2023-04-15,62,43
Y0755,2023-04-15,58,55
Y0756,2023-04-15,61,53
Y0757,2023-04-15,72,65
Y0758,2023-04-15,65,46
Y0759,2023-04-15,75,59
Y0760,2023-04-15,54,40
Y0761,2023-04-15,68,61
Y0762,2023-04-15,74,63
Y0763,2023-04-15,67,62
Y0764,2023-04-15,65,54
Y0765,2023-04-15,66,46
Y0766,2023-04-15,69,50
Y0767,2023-04-15,66,59
Y0768,2023-04-15,63,59
Y0769,2023-04-15,80,75
Y0770,2023-04-15,61,50
Y0771,2023-04-15,59,51
Y0772,2023-04-15,61,46
Y0773,2023-04-15,62,49
Y0774,2023-04-15,56,43
Y0775,2023-04-15,62,47
Y0776,2023-04-15,78,70
Y0777,2023-04-15,79,62
Y0778,2023-04-15,79,67
Y0779,2023-04-15,66,55
Y0780,2023-04-15,63,63
Y0781,2023-04-15,63,52
Y0782,2023-04-15,60,43
Y0783,2023-04-15,69,66
Y0784,2023-04-15,76,60
Y0785,2023-04-15,56,43
Y0786,2023-04-15,59,59
Y0787,2023-04-15,77,61
Y0788,2023-04-15,55,43
Y0789,2023-04-15,68,59
Y0790,2023-04-15,65,51
Y0791,2023-04-15,72,71
Y0792,2023-04-15,80,71
Y0793,2023-04-15,73,56
Y0794,2023-04-15,66,54
Y0795,2023-04-15,63,47
Y0796,2023-04-15,69,57
Y0797,2023-04-15,54,39
Y0798,2023-04-15,67,67
Y0799,2023-04-15,60,50
Y0800,2023-04-15,78,71
Y0801,2023-04-15,59,54
Y0802,2023-04-15,77,72
Y0803,2023-04-15,70,54
Y0804,2023-04-15,64,63
Y0805,2023-04-15,61,42
Y0806,2023-04-15,81,79
Y0807,2023-04-15,57,41
Y0808,2023-04-15,76,69
Y0809,2023-04-15,52,49
Y0810,2023-04-15,55,48
Y0811,2023-04-15,71,65
Y0812,2023-04-15,51,41
Y0813,2023-04-15,75,56
Y0814,2023-04-15,67,52
Y0815,2023-04-15,71,61
Y0816,2023-04-15,57,42
Y0817,2023-04-15,65,51
Y0818,2023-04-15,60,54
Y0819,2023-04-15,66,55
Y0820,2023-04-15,73,59
Y0821,2023-04-15,56,43
Y0822,2023-04-15,82,71
Y0823,2023-04-15,61,44
Y0824,2023-04-15,75,61
Y0825,2023-04-15,56,56
Y0826,2023-04-15,76,64
Y0827,2023-04-15,74,69
Y0828,2023-04-15,62,52
Y0829,2023-04-15,63,50
Y0830,2023-04-15,77,60
Y0831,2023-04-15,76,58
Y0832,2023-04-15,60,47
Y0833,2023-04-15,68,64
Y0834,2023-04-15,82,64
Y0835,2023-04-15,71,70
Y0836,2023-04-15,61,58
Y0837,2023-04-15,81,61
Y0838,2023-04-15,74,71
Y0839,2023-04-15,57,53
Y0840,2023-04-15,66,55
Y0841,2023-04-15,78,70
Y0842,2023-04-15,81,80
Y0843,2023-04-15,67,53
Y0844,2023-04-15,75,69
Y0845,2023-04-15,70,58
Y0846,2023-04-15,69,55
Y0847,2023-04-15,70,51
Y0848,2023-04-15,67,63
Y0849,2023-04-15,70,58
Y0850,2023-04-15,58,47
Y0851,2023-04-15,80,69
Y0852,2023-04-15,77,75
Y0853,2023-04-15,71,57
Y0854,2023-04-15,64,60
Y0855,2023-04-15,75,70
Y0856,2023-04-15,67,51
Y0857,2023-04-15,70,68
Y0858,2023-04-15,79,79
Y0859,2023-04-15,52,36
Y0860,2023-04-15,69,49
Y0861,2023-04-15,74,59
Y0862,2023-04-15,55,41
Y0863,2023-04-15,52,46
Y0864,2023-04-15,65,46
Y0865,2023-04-15,58,58
Y0866,2023-04-15,59,57
Y0867,2023-04-15,61,56
Y0868,2023-04-15,81,70
Y0869,2023-04-15,50,44
Y0870,2023-04-15,64,53
Y0871,2023-04-15,65,50
Y0872,2023-04-15,62,60
Y0873,2023-04-15,58,43
Y0874,2023-04-15,65,46
Y0875,2023-04-15,63,59
Y0876,2023-04-15,72,67
Y0877,2023-04-15,64,60
Y0878,2023-04-15,55,40
Y0879,2023-04-15,62,49
Y0880,2023-04-15,79,62
Y0881,2023-04-15,60,52
Y0882,2023-04-15,81,78
Y0883,2023-04-15,59,54
Y0884,2023-04-15,56,45
Y0885,2023-04-15,59,42
Y0886,2023-04-15,74,56
Y0887,2023-04-15,81,77
Y0888,2023-04-15,82,73
Y0889,2023-04-15,66,51
Y0890,2023-04-15,68,58
Y0891,2023-04-15,69,52
Y0892,2023-04-15,75,60
Y0893,2023-04-15,67,51
Y0894,2023-04-15,59,59
Y0895,2023-04-15,62,59
Y0896,2023-04-15,67,49
Y0897,2023-04-15,66,50
Y0898,2023-04-15,59,39
Y0899,2023-04-15,53,41
Y0900,2023-04-15,62,62
Y0901,2023-04-15,54,36
Y0902,2023-04-15,62,48
Y0903,2023-04-15,63,61
Y0904,2023-04-15,76,62
Y0905,2023-04-15,67,52
Y0906,2023-04-15,57,45
Y0907,2023-04-15,55,37
Y0908,2023-04-15,57,44
Y0909,2023-04-15,70,55
Y0910,2023-04-15,71,69
Y0911,2023-04-15,69,67
Y0912,2023-04-15,57,49
Y0913,2023-04-15,77,70
Y0914,2023-04-15,78,61
Y0915,2023-04-15,60,59
Y0916,2023-04-15,61,56
Y0917,2023-04-15,63,59
Y0918,2023-04-15,65,45
Y0919,2023-04-15,60,47
Y0920,2023-04-15,67,52
Y0921,2023-04-15,79,62
Y0922,2023-04-15,72,62
Y0923,2023-04-15,66,49
Y0924,2023-04-15,79,59
Y0925,2023-04-15,73,69
Y0926,2023-04-15,50,40
Y0927,2023-04-15,77,77
Y0928,2023-04-15,76,67
Y0929,2023-04-15,79,67
Y0930,2023-04-15,60,50
Y0931,2023-04-15,82,71
Y0932,2023-04-15,63,53
Y0933,2023-04-15,71,54
Y0934,2023-04-15,68,65
Y0935,2023-04-15,59,40
Y0936,2023-04-15,69,59
Y0937,2023-04-15,55,50
Y0938,2023-04-15,63,58
Y0939,2023-04-15,56,36
Y0940,2023-04-15,74,68
Y0941,2023-04-15,62,49
Y0942,2023-04-15,82,74
Y0943,2023-04-15,80,72
Y0944,2023-04-15,62,48
Y0945,2023-04-15,77,76
Y0946,2023-04-15,81,72
Y0947,2023-04-15,58,48
Y0948,2023-04-15,60,46
Y0949,2023-04-15,66,53
Y0950,2023-04-15,62,46
Y0951,2023-04-15,72,57
Y0952,2023-04-15,71,52
Y0953,2023-04-15,58,56
Y0954,2023-04-15,66,62
Y0955,2023-04-15,67,62
Y0956,2023-04-15,63,62
Y0957,2023-04-15,62,61
Y0958,2023-04-15,57,53
Y0959,2023-04-15,64,44
Y0960,2023-04-15,77,57
Y0961,2023-04-15,64,59
Y0962,2023-04-15,74,63
Y0963,2023-04-15,63,43
Y0964,2023-04-15,72,59
Y0965,2023-04-15,53,37
Y0966,2023-04-15,63,45
Y0967,2023-04-15,60,52
Y0968,2023-04-15,71,60
Y0969,2023-04-15,54,51
Y0970,2023-04-15,74,56
Y0971,2023-04-15,69,59
Y0972,2023-04-15,70,64
Y0973,2023-04-15,58,56
Y0974,2023-04-15,60,42
Y0975,2023-04-15,50,42
Y0976,2023-04-15,60,47
Y0977,2023-04-15,68,62
Y0978,2023-04-15,59,56
Y0979,2023-04-15,74,60
Y0980,2023-04-15,68,49
Y0981,2023-04-15,69,63
Y0982,2023-04-15,83,71
Y0983,2023-04-15,63,44
Y0984,2023-04-15,67,56
Y0985,2023-04-15,76,63
Y0986,2023-04-15,73,56
Y0987,2023-04-15,77,67
Y0988,2023-04-15,71,52
Y0989,2023-04-15,70,66
Y0990,2023-04-15,65,51
Y0991,2023-04-15,64,52
Y0992,2023-04-15,55,45
Y0993,2023-04-15,70,56
Y0994,2023-04-15,79,73
Y0995,2023-04-15,56,44
Y0996,2023-04-15,58,43
Y0997,2023-04-15,53,40
Y0998,2023-04-15,70,62
Y0999,2023-04-15,66,65
Y1000,2023-04-15,69,56
Y1001,2023-04-15,78,69
Y1002,2023-04-15,80,75
Y1003,2023-04-15,72,60
Y1004,2023-04-15,74,62
Y1005,2023-04-15,55,55
Y1006,2023-04-15,56,40
Y1007,2023-04-15,56,50
Y1008,2023-04-15,59,45
Y1009,2023-04-15,81,73
Y1010,2023-04-15,65,57
Y1011,2023-04-15,56,42
Y1012,2023-04-15,69,51
Y1013,2023-04-15,62,49
Y1014,2023-04-15,65,51
Y1015,2023-04-15,61,57
Y1016,2023-04-15,58,38
Y1017,2023-04-15,61,42
Y1018,2023-04-15,71,71
Y1019,2023-04-15,63,48
Y1020,2023-04-15,78,64
Y1021,2023-04-15,53,45
Y1022,2023-04-15,73,68
Y1023,2023-04-15,63,51
Y1024,2023-04-15,69,60
Y1025,2023-04-15,73,64
Y1026,2023-04-15,58,40
Y1027,2023-04-15,67,54
Y1028,2023-04-15,66,53
Y1029,2023-04-15,81,63
Y1030,2023-04-15,71,67
Y1031,2023-04-15,58,47
Y1032,2023-04-15,67,50
Y1033,2023-04-15,53,52
Y1034,2023-04-15,72,63
Y1035,2023-04-15,62,52
Y1036,2023-04-15,66,46
Y1037,2023-04-15,60,58
Y1038,2023-04-15,56,41
Y1039,2023-04-15,59,58
Y1040,2023-04-15,63,59
Y1041,2023-04-15,54,36
Y1042,2023-04-15,61,58
Y1043,2023-04-15,56,42
Y1044,2023-04-15,76,68
Y1045,2023-04-15,82,77
Y1046,2023-04-15,74,62
Y1047,2023-04-15,61,49
Y1048,2023-04-15,69,58
Y1049,2023-04-15,71,57
Y1050,2023-04-15,70,69
Y1051,2023-04-15,64,44
Y1052,2023-04-15,60,46
Y1053,2023-04-15,71,59
Y1054,2023-04-15,60,46
Y1055,2023-04-15,64,55
Y1056,2023-04-15,65,56
Y1057,2023-04-15,73,61
Y1058,2023-04-15,64,58
Y1059,2023-04-15,57,39
Y1060,2023-04-15,67,58
Y1061,2023-04-15,52,43
Y1062,2023-04-15,56,55
Y1063,2023-04-15,66,62
Y1064,2023-04-15,73,67
Y1065,2023-04-15,72,62
Y1066,2023-04-15,80,60
Y1067,2023-04-15,67,55
Y1068,2023-04-15,63,45
Y1069,2023-04-15,81,74
Y1070,2023-04-15,59,46
Y1071,2023-04-15,60,40
Y1072,2023-04-15,68,53
Y1073,2023-04-15,63,53
Y1074,2023-04-15,74,74
Y1075,2023-04-15,81,80
Y1076,2023-04-15,62,54
Y1077,2023-04-15,61,41
Y1078,2023-04-15,65,54
Y1079,2023-04-15,64,45
Y1080,2023-04-15,70,65
Y1081,2023-04-15,70,70
Y1082,2023-04-15,72,61
Y1083,2023-04-15,78,58
Y1084,2023-04-15,64,49
Y1085,2023-04-15,77,71
Y1086,2023-04-15,59,54
Y1087,2023-04-15,57,51
Y1088,2023-04-15,78,63
Y1089,2023-04-15,62,57
Y1090,2023-04-15,70,68
Y1091,2023-04-15,56,39
Y1092,2023-04-15,73,59
Y1093,2023-04-15,64,52
Y1094,2023-04-15,59,55
Y1095,2023-04-15,74,69
Y1096,2023-04-15,75,73
Y1097,2023-04-15,74,64
Y1098,2023-04-15,76,71
Y1099,2023-04-15,74,61
Y1100,2023-04-15,71,62
Y1101,2023-04-15,77,76
Y1102,2023-04-15,55,52
Y1103,2023-04-15,78,61
Y1104,2023-04-15,69,55
Y1105,2023-04-15,74,62
Y1106,2023-04-15,55,36
Y1107,2023-04-15,65,50
Y1108,2023-04-15,62,49
Y1109,2023-04-15,73,55
Y1110,2023-04-15,65,54
Y1111,2023-04-15,61,60
Y1112,2023-04-15,64,63
Y1113,2023-04-15,68,53
Y1114,2023-04-15,58,38
Y1115,2023-04-15,68,62
Y1116,2023-04-15,57,53
Y1117,2023-04-15,76,58
Y1118,2023-04-15,73,66
Y1119,2023-04-15,57,55
Y1120,2023-04-15,81,72
Y1121,2023-04-15,63,57
Y1122,2023-04-15,72,68
Y1123,2023-04-15,71,57
Y1124,2023-04-15,53,44
Y1125,2023-04-15,61,43
Y1126,2023-04-15,58,41
Y1127,2023-04-15,73,61
Y1128,2023-04-15,64,49
Y1129,2023-04-15,80,67
Y1130,2023-04-15,57,53
Y1131,2023-04-15,71,62
Y1132,2023-04-15,71,62
Y1133,2023-04-15,62,55
Y1134,2023-04-15,56,47
Y1135,2023-04-15,59,57
Y1136,2023-04-15,57,48
Y1137,2023-04-15,61,55
Y1138,2023-04-15,78,74
Y1139,2023-04-15,56,38
Y1140,2023-04-15,62,47
Y1141,2023-04-15,67,63
Y1142,2023-04-15,74,64
Y1143,2023-04-15,72,57
Y1144,2023-04-15,63,60
Y1145,2023-04-15,79,71
Y1146,2023-04-15,65,54
Y1147,2023-04-15,62,45
Y1148,2023-04-15,51,45
Y1149,2023-04-15,80,65
Y1150,2023-04-15,67,49
Y1151,2023-04-15,61,41
Y1152,2023-04-15,64,55
Y1153,2023-04-15,65,53
Y1154,2023-04-15,57,51
Y1155,2023-04-15,67,58
Y1156,2023-04-15,56,42
Y1157,2023-04-15,62,56
Y1158,2023-04-15,55,43
Y1159,2023-04-15,60,53
Y1160,2023-04-15,53,35
Y1161,2023-04-15,70,63
Y1162,2023-04-15,59,42
Y1163,2023-04-15,58,41
Y1164,2023-04-15,78,73
Y1165,2023-04-15,71,54
Y1166,2023-04-15,69,52
Y1167,2023-04-15,81,69
Y1168,2023-04-15,56,55
Y1169,2023-04-15,53,51
Y1170,2023-04-15,58,39
Y1171,2023-04-15,68,49
Y1172,2023-04-15,58,57
Y1173,2023-04-15,53,45
Y1174,2023-04-15,68,49
Y1175,2023-04-15,73,65
Y1176,2023-04-15,60,41
Y1177,2023-04-15,73,72
Y1178,2023-04-15,58,50
Y1179,2023-04-15,60,58
Y1180,2023-04-15,57,49
Y1181,2023-04-15,65,64
Y1182,2023-04-15,79,70
Y1183,2023-04-15,63,44
Y1184,2023-04-15,75,55
Y1185,2023-04-15,82,82
Y1186,2023-04-15,64,52
Y1187,2023-04-15,84,78
Y1188,2023-04-15,66,57
Y1189,2023-04-15,72,61
Y1190,2023-04-15,74,72
Y1191,2023-04-15,56,41
Y1192,2023-04-15,73,63
Y1193,2023-04-15,68,50
Y1194,2023-04-15,56,43
Y1195,2023-04-15,70,54
Y1196,2023-04-15,66,52
Y1197,2023-04-15,67,61
Y1198,2023-04-15,79,63
Y1199,2023-04-15,66,56
Y1200,2023-04-15,65,52
Y1201,2023-04-15,57,46
Y1202,2023-04-15,55,47
Y1203,2023-04-15,79,75
Y1204,2023-04-15,53,42
Y1205,2023-04-15,55,53
Y1206,2023-04-15,66,54
Y1207,2023-04-15,80,77
Y1208,2023-04-15,72,64
Y1209,2023-04-15,80,60
Y1210,2023-04-15,67,62
Y1211,2023-04-15,72,63
Y1212,2023-04-15,67,55
Y1213,2023-04-15,65,60
Y1214,2023-04-15,65,56
Y1215,2023-04-15,76,70
Y1216,2023-04-15,67,49
Y1217,2023-04-15,67,56
Y1218,2023-04-15,57,37
Y1219,2023-04-15,64,49
Y1220,2023-04-15,51,40
Y1221,2023-04-15,78,63
Y1222,2023-04-15,77,62
Y1223,2023-04-15,67,60
Y1224,2023-04-15,75,56
Y1225,2023-04-15,63,61
Y1226,2023-04-15,74,70
Y1227,2023-04-15,75,74
Y1228,2023-04-15,50,46
Y1229,2023-04-15,62,47
Y1230,2023-04-15,76,71
Y1231,2023-04-15,66,63
Y1232,2023-04-15,67,51
Y1233,2023-04-15,57,55
Y1234,2023-04-15,66,62
Y1235,2023-04-15,54,41
Y1236,2023-04-15,74,64
Y1237,2023-04-15,71,54
Y1238,2023-04-15,78,68
Y1239,2023-04-15,65,62
Y1240,2023-04-15,58,55
Y1241,2023-04-15,62,45
Y1242,2023-04-15,53,51
Y1243,2023-04-15,74,60
Y1244,2023-04-15,75,73
Y1245,2023-04-15,56,45
Y1246,2023-04-15,62,53
Y1247,2023-04-15,69,57
Y1248,2023-04-15,57,51
Y1249,2023-04-15,73,67
Y1250,2023-04-15,68,66
Y1251,2023-04-15,57,47
Y1252,2023-04-15,69,54
Y1253,2023-04-15,52,50
Y1254,2023-04-15,71,64
Y1255,2023-04-15,61,49
Y1256,2023-04-15,67,65
Y1257,2023-04-15,72,55
Y1258,2023-04-15,71,55
Y1259,2023-04-15,78,78
Y1260,2023-04-15,74,68
Y1261,2023-04-15,61,43
Y1262,2023-04-15,60,57
Y1263,2023-04-15,74,69
Y1264,2023-04-15,62,44
Y1265,2023-04-15,68,50
Y1266,2023-04-15,70,56
Y1267,2023-04-15,65,65
Y1268,2023-04-15,69,61
Y1269,2023-04-15,69,49
Y1270,2023-04-15,60,42
Y1271,2023-04-15,76,62
Y1272,2023-04-15,62,44
Y1273,2023-04-15,66,46
Y1274,2023-04-15,67,65
Y1275,2023-04-15,69,50
Y1276,2023-04-15,63,49
Y1277,2023-04-15,68,61
Y1278,2023-04-15,56,49
Y1279,2023-04-15,66,56
Y1280,2023-04-15,81,67
Y1281,2023-04-15,63,47
Y1282,2023-04-15,58,53
Y1283,2023-04-15,68,52
Y1284,2023-04-15,73,67
Y1285,2023-04-15,60,54
Y1286,2023-04-15,72,59
Y1287,2023-04-15,68,66
Y1288,2023-04-15,70,58
Y1289,2023-04-15,73,59
Y1290,2023-04-15,72,61
Y1291,2023-04-15,62,51
Y1292,2023-04-15,74,60
Y1293,2023-04-15,64,45
Y1294,2023-04-15,63,56
Y1295,2023-04-15,69,62
Y1296,2023-04-15,52,50
Y1297,2023-04-15,74,71
Y1298,2023-04-15,63,62
Y1299,2023-04-15,67,63
Y1300,2023-04-15,54,37
Y1301,2023-04-15,69,67
Y1302,2023-04-15,62,47
Y1303,2023-04-15,74,54
Y1304,2023-04-15,66,61
Y1305,2023-04-15,68,68
Y1306,2023-04-15,76,68
Y1307,2023-04-15,74,62
Y1308,2023-04-15,69,68
Y1309,2023-04-15,66,66
Y1310,2023-04-15,67,57
Y1311,2023-04-15,70,54
Y1312,2023-04-15,79,68
Y1313,2023-04-15,59,51
Y1314,2023-04-15,68,68
Y1315,2023-04-15,62,48
Y1316,2023-04-15,58,52
Y1317,2023-04-15,58,45
Y1318,2023-04-15,58,58
Y1319,2023-04-15,72,64
Y1320,2023-04-15,67,67
Y1321,2023-04-15,67,57
Y1322,2023-04-15,79,65
Y1323,2023-04-15,69,55
Y1324,2023-04-15,69,63
Y1325,2023-04-15,65,56
Y1326,2023-04-15,69,56
Y1327,2023-04-15,60,40
Y1328,2023-04-15,67,66
Y1329,2023-04-15,70,60
Y1330,2023-04-15,60,60
Y1331,2023-04-15,64,46
Y1332,2023-04-15,60,48
Y1333,2023-04-15,64,63
Y1334,2023-04-15,73,67
Y1335,2023-04-15,72,58
Y1336,2023-04-15,51,42
Y1337,2023-04-15,67,55
Y1338,2023-04-15,76,64
Y1339,2023-04-15,66,60
Y1340,2023-04-15,64,46
Y1341,2023-04-15,74,74
Y1342,2023-04-15,60,53
Y1343,2023-04-15,80,79
Y1344,2023-04-15,58,55
Y1345,2023-04-15,70,55
Y1346,2023-04-15,72,57
Y1347,2023-04-15,68,50
Y1348,2023-04-15,79,74
Y1349,2023-04-15,75,74
Y1350,2023-04-15,64,56
Y1351,2023-04-15,63,62
Y1352,2023-04-15,63,60
Y1353,2023-04-15,75,68
Y1354,2023-04-15,69,50
Y1355,2023-04-15,56,45
Y1356,2023-04-15,59,47
Y1357,2023-04-15,70,53
Y1358,2023-04-15,59,46
Y1359,2023-04-15,53,53
Y1360,2023-04-15,66,63
Y1361,2023-04-15,82,76
Y1362,2023-04-15,72,60
Y1363,2023-04-15,63,49
Y1364,2023-04-15,80,74
Y1365,2023-04-15,74,60
Y1366,2023-04-15,79,77
Y1367,2023-04-15,70,67
Y1368,2023-04-15,57,47
Y1369,2023-04-15,71,62
Y1370,2023-04-15,70,63
Y1371,2023-04-15,66,58
Y1372,2023-04-15,84,83
Y1373,2023-04-15,55,53
Y1374,2023-04-15,62,49
Y1375,2023-04-15,71,53
Y1376,2023-04-15,68,65
Y1377,2023-04-15,51,50
Y1378,2023-04-15,73,72
Y1379,2023-04-15,55,39
Y1380,2023-04-15,72,52
Y1381,2023-04-15,65,65
Y1382,2023-04-15,79,64
Y1383,2023-04-15,57,48
Y1384,2023-04-15,67,66
Y1385,2023-04-15,63,62
Y1386,2023-04-15,65,60
Y1387,2023-04-15,57,38
Y1388,2023-04-15,57,43
Y1389,2023-04-15,61,59
Y1390,2023-04-15,60,57
Y1391,2023-04-15,62,61
Y1392,2023-04-15,73,64
Y1393,2023-04-15,78,60
Y1394,2023-04-15,72,59
Y1395,2023-04-15,59,42
Y1396,2023-04-15,62,55
Y1397,2023-04-15,76,70
Y1398,2023-04-15,55,53
Y1399,2023-04-15,72,72
Y1400,2023-04-15,75,74
Y1401,2023-04-15,61,56
Y1402,2023-04-15,68,56
Y1403,2023-04-15,70,53
Y1404,2023-04-15,72,52
Y1405,2023-04-15,69,65
Y1406,2023-04-15,65,65
Y1407,2023-04-15,76,63
Y1408,2023-04-15,67,51
Y1409,2023-04-15,76,56
Y1410,2023-04-15,68,62
Y1411,2023-04-15,78,65
Y1412,2023-04-15,76,74
Y1413,2023-04-15,80,66
Y1414,2023-04-15,57,55
Y1415,2023-04-15,75,60
Y1416,2023-04-15,61,59
Y1417,2023-04-15,57,44
Y1418,2023-04-15,80,67
Y1419,2023-04-15,57,56
