SOP Type,SOP Number,Item Number,Item Description,QTY,Unit Cost,Unit Price,Customer Number,Customer Class,Document Status,Item Class Code,Posting Status,Salesperson ID,Void Status
Invoice,INVS3049,5-CONTRACTS,3-A3542A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3049,5-CONTRACTS,4-A3351A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3049,5-CONTRACTS,4-A3539A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3049,5-CONTRACTS,4-E2094A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3050,5-CONTRACTS,3-A3542A,2,0,25,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3050,5-CONTRACTS,3-D2094A,2,0,25,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3050,5-CONTRACTS,3-A2969A,1,0,3.5,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3051,5-CONTRACTS,2-A3284A,1,0,333.37,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3051,5-CONTRACTS,4-A3351A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3051,5-CONTRACTS,4-E5930A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3051,5-CONTRACTS,4-A3666A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3051,5-CONTRACTS,4-E2094A,1,0,30.87,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3052,5-CONTRACTS,2-A3284A,1,0,300,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3052,5-CONTRACTS,3-A3542A,1,0,8.33,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3052,5-CONTRACTS,3-D2094A,1,0,8.33,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3052,5-CONTRACTS,4-A3539A,1,0,4.17,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3053,5-CONTRACTS,2-A3284A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3053,5-CONTRACTS,3-A3542A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3053,5-CONTRACTS,4-A3351A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3053,5-CONTRACTS,4-A3539A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3053,5-CONTRACTS,4-E2094A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3054,5-CONTRACTS,3-A3542A,2,0,25,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3054,5-CONTRACTS,3-D2094A,2,0,25,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3054,5-CONTRACTS,3-A2969A,1,0,3.5,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVSP1005,M1700,"17"" Monitor",1,198,199.95,ASTORSUI0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2225,FAXX-SLK-2100,Sleek UX-2100 fax,1,899,1799.95,CENTRALD0001,USA-MNWI-T4,Unposted,RETAIL,Unposted,SANDRA M.,Normal
Order,ORDST2226,128 SDRAM,128 meg SDRAM,2,152.1,135.2,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2226,333PROC,333 Processor,1,238.5,239.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2226,4.5HD,4.5 gig Hard Drive,2,184.5,189.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2226,40X IDE,40x CD-ROM,1,39.6,39.95,AARONFIT0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2227,128 SDRAM,128 meg SDRAM,4,152.1,135.2,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Order,ORDST2227,40X IDE,40x CD-ROM,1,39.6,39.95,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Order,ORDST2227,500PROC,500 Processor,1,702,749.95,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Order,ORDST2227,8.4HD,8.4 gig Hard Drive,1,292.5,309.95,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Order,ORDST2227,ACCS-CRD-25BK,Phone Cord - 25' Black,2,5.98,19.95,BERRYMED0001,USA-MNWI-T4,Unposted,RETAIL,Unposted,SANDRA M.,Normal
Order,ORDST2228,128 SDRAM,128 meg SDRAM,2,152.1,135.2,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2228,40X IDE,40x CD-ROM,1,39.6,39.95,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2228,333PROC,333 Processor,1,238.5,239.95,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Order,ORDST2228,ACCS-CRD-25BK,Phone Cord - 25' Black,1,5.98,19.95,CELLULAR0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Order,ORDST2229,128 SDRAM,128 meg SDRAM,1,152.1,135.2,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,4.5HD,4.5 gig Hard Drive,1,184.5,189.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,40X IDE,40x CD-ROM,2,39.6,39.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,500PROC,500 Processor,1,702,749.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,64 SDRAM,64 meg SDRAM,2,80.1,72.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,ACCS-CRD-25BK,Phone Cord - 25' Black,3,5.98,19.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,ACCS-HDS-2EAR,Headset - Dual Ear,1,41.98,89.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,ANSW-ATT-1000,Attractive Answering System 1000,1,59.29,119.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,ANSW-PAN-2460,Panache KX-T2460 answer,1,73.25,149.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,BOT100G,Handset Bottom,2,1.2,9.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,HDWR-CIM-0001,Control interface/Memory,1,3290.55,6589.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,HDWR-SBD-0001,Switchboard,1,14778.12,29559.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,KB104,Keyboard,2,13.5,19.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,M2100,"21"" Monitor",1,810,999.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,PHON-ATT-0712,Attractive 712 wall phone,2,35.89,79.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,PHON-FGD-0001,Phones-Hands Free Dual Ear,1,57.22,119.95,ALTONMAN0001,USA-INMI-T2,Unposted,FINGOODS,Unposted,GREG E.,Normal
Order,ORDST2229,PHON-RCV-0002,Receiver-Hands Free Single Ear,1,41.88,89.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,RES100,Resistor,5,0.02,9.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,RESR-COM-68KM,Resistor-68KM Revised,1,5.75,19.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,RMTL-CAP-10MF,"Capacitor, .10mF",1,3.93,8.25,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,SOLDER,Solder,1,0.01,0.35,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,TRAN-STR-N394,"Transistor,2N394",2,9.81,19.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,TRANS100,Transistor,1,0.02,9.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,TRANSF100,Transformer,1,5,19.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,WIRE-MCD-0001,Multi conductor wire,10,0.54,0.35,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,WIRE-SCD-0001,Single conductor wire,25,0.16,0.35,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,WIRE100,Phone Wire,2,0.01,0.35,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,24X IDE,24x CD-ROM,1,45,40,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,256 SDRAM,256 meg SDRAM,1,247.5,229.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,32 SDRAM,32 meg SDRAM,2,40.5,49.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,333PROC,333 Processor,1,238.5,239.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,400PROC,400 Processor,1,393.3,399.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,450PROC,450 Processor,1,566.1,569.95,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,6.5HD,6.5 gig Hard Drive,1,224.1,224.99,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2229,ACCS-CRD-12WH,Phone Cord - 12' White,1,3.29,9.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,ACCS-HDS-1EAR,Headset-Single Ear,1,38.59,79.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,ACCS-RST-DXBK,Shoulder Rest-Deluxe Black,1,4.55,9.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2229,ACCS-RST-DXWH,Shoulder Rest - Deluxe White,2,4.55,9.95,ALTONMAN0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Order,ORDST2230,128 SDRAM,128 meg SDRAM,1,152.1,135.2,BAKERSEM0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Order,ORDST2231,1-A3261A,Multi-Core Processor,1,16000,32000,BAKERSEM0001,USA-INMI-T2,Unposted,SERVERS-1,Unposted,GREG E.,Normal
Order,ORDST2232,1-A3261A,Multi-Core Processor,1,16000,32000,ROSELLEN0001,CAN-ONMBSK-T6,Unposted,SERVERS-1,Unposted,GARY W.,Normal
Quote,QTEST1022,ACCS-HDS-1EAR,Headset-Single Ear,1,38.59,79.95,AARONFIT0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Quote,QTEST1023,ACCS-RST-DXBK,Shoulder Rest-Deluxe Black,1,4.55,9.95,BAKERSEM0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Quote,QTEST1024,1-A3261A,Multi-Core Processor,1,16000,32000,AARONFIT0001,USA-ILMO-T1,Unposted,SERVERS-1,Unposted,PAUL W.,Normal
Order,RMA002001,3-J2094A,HP-PB 16 C:RMA000000003005-CROSS,1,2150,2623,GREENWAY0001,USA-ILMO-T1,Unposted,MODEMS,Unposted,PAUL W.,Normal
Return,RMA004000,3-B3813A,Keyboard:RMA000000003009-CREDIT,2,50,60,ADAMPARK0001,USA-INMI-T2,Unposted,COMPONENTS,Unposted,GREG E.,Normal
Return,RMA004001,3-J2094A,HP-PB 16 C:RMA000000003005-CROSS,1,2150,2623,GREENWAY0001,USA-ILMO-T1,Unposted,MODEMS,Unposted,PAUL W.,Normal
Invoice,STDINV2255,ACCS-HDS-1EAR,Headset-Single Ear,1,38.59,79.95,LASERMES0001,USA-MNWI-T4,Unposted,RETAIL,Unposted,SANDRA M.,Normal
Invoice,STDINV2255,CBA100,Circuit Board Assembly,1,15.5,29.95,LASERMES0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,STDINV2256,SPLN-TWO-0001,Service Plans-Phone Systems,1,0,1000,FRANCHIS0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Return,STDINV2257,ACCS-CRD-25BK,Phone Cord - 25' Black,5,5.98,19.95,ADAMPARK0001,USA-INMI-T2,Unposted,RETAIL,Unposted,GREG E.,Normal
Return,STDINV2258,32X IDE,32x CD-ROM,7,49.5,49.95,AMERICAN0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,100XLG,Green Phone,2,55.5,59.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,128 SDRAM,128 meg SDRAM,1,152.1,135.2,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,24X IDE,24x CD-ROM,1,45,40,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,256 SDRAM,256 meg SDRAM,2,247.5,229.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,32 SDRAM,32 meg SDRAM,1,40.5,49.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,32X IDE,32x CD-ROM,1,49.5,49.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,4.5HD,4.5 gig Hard Drive,1,184.5,189.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,400PROC,400 Processor,1,393.3,399.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,40X IDE,40x CD-ROM,1,39.6,39.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,450PROC,450 Processor,1,566.1,569.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,500PROC,500 Processor,1,702,749.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,6.5HD,6.5 gig Hard Drive,3,224.1,224.99,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,64 SDRAM,64 meg SDRAM,1,80.1,72.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,8.4HD,8.4 gig Hard Drive,1,292.5,309.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,A100,Audio System,5,36,39.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,ACCS-CRD-12WH,Phone Cord - 12' White,3,3.29,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,ACCS-CRD-25BK,Phone Cord - 25' Black,1,5.98,19.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,ACCS-HDS-1EAR,Headset-Single Ear,3,38.59,79.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,ACCS-HDS-2EAR,Headset - Dual Ear,2,41.98,89.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,ANSW-ATT-1000,Attractive Answering System 1000,1,59.29,119.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,ANSW-PAN-2460,Panache KX-T2460 answer,2,73.25,149.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,BA100G,Base Assembly,4,27.37,29.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,BELL100,Phone Bellisimo,2,2,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,BK MOUSE,Black Mouse,1,9,19.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,BOT100G,Handset Bottom,6,1.2,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,CAP100,Capacitor,1,0.02,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,CB100,Circuit Board,2,1.5,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,CBA100,Circuit Board Assembly,1,15.5,29.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,CORDG,Green Cord,3,0.67,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,FAXX-SLK-2100,Sleek UX-2100 fax,1,899,1799.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,FTRUB,Rubber Feet,2,0.01,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,HA100G,Green Hand Assembly,2,18.44,29.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,HDWR-ACC-0100,Acclaimed Call Center System 100,1,35000,70009.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,HDWR-LDS-0001,Network LDS/Card,1,2700,5409.95,CENTRALC0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2259,KB104,Keyboard,2,13.5,19.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,KPA100,Keypad Assembly,2,3.88,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,M1500,"15"" Monitor",1,108,139.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,M1700,"17"" Monitor",1,198,199.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,M2100,"21"" Monitor",1,810,999.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2259,MIC100,Microphone,2,4,9.95,CENTRALC0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,STDINV2260,ANSW-PAN-2460,Panache KX-T2460 answer,3,73.25,149.95,AARONFIT0001,USA-ILMO-T1,Unposted,RETAIL,Unposted,PAUL W.,Normal
Invoice,STDINV2261,3-A2969A,1 TB SCSI Raid,1,890,1780,ASTORSUI0001,USA-INMI-T2,Unposted,COMPONENTS,Unposted,GREG E.,Normal
Back Order,BKO1001,SOFT-PHM-0001,Phone Mail System,1,34550,69109.95,CONTOSOL0001,USA-IAKSNE-T3,Posted,RETAIL,Unposted,NANCY B.,Normal
Back Order,BKO1003,ACCS-HDS-2EAR,Headset - Dual Ear,10,41.98,89.95,AMERICAN0001,USA-ILMO-T1,Posted,RETAIL,Unposted,PAUL W.,Normal
Invoice,INV1010,FAXX-SLK-0172,Sleek UX-172 fax,1,674.5,1349.95,ISNINDUS0001,USA-ILMO-T1,Posted,RETAIL,Posted,PAUL W.,Normal
Return,INV1011,PHON-ATT-53WH,Cordless-Attractive 5352-White,1,91.25,189.95,MENDOTAU0001,USA-INMI-T2,Posted,ATT CORD,Posted,GREG E.,Normal
Return,INV1012,HDWR-PNL-0001,Control Panel,1,303.85,609.95,KELLYCON0001,AUSTRALIA-T8,Posted,RETAIL,Posted,IAN M.,Normal
Return,INV1013,PHON-ATT-53BL,Cordless-Attractive 5352-Blue,5,93.55,189.95,ADVANCED0002,CAN-ONMBSK-T6,Posted,ATT CORD,Posted,GARY W.,Normal
Invoice,INV1014,ACCS-CRD-12WH,Phone Cord - 12' White,3,3.29,9.95,CENTRALC0001,USA-ILMO-T1,Posted,RETAIL,Unposted,PAUL W.,Normal
Invoice,INV1015,PHON-BUS-1250,"Handset,multi-line",1,179.85,359.95,MAGNIFIC0001,CAN-ONMBSK-T6,Posted,RETAIL,Unposted,GARY W.,Normal
Invoice,INV1016,ACCS-CRD-12WH,Phone Cord - 12' White,1,3.29,9.95,METROPOL0001,USA-MNWI-T4,Posted,RETAIL,Posted,SANDRA M.,Normal
Invoice,INV1017,HDWR-PRO-4862,Processor 486/25MHz,1,2998.15,5999.95,MAHLERST0001,USA-MNWI-T4,Posted,RETAIL,Unposted,SANDRA M.,Normal
Invoice,INV1018,WIRE-SCD-0001,Single conductor wire,25,0.16,0.35,LAWRENCE0001,USA-IAKSNE-T3,Posted,,Unposted,NANCY B.,Normal
Invoice,INV1019,FAXX-SLK-0172,Sleek UX-172 fax,1,674.5,1349.95,BLUEYOND0001,USA-IAKSNE-T3,Posted,RETAIL,Unposted,NANCY B.,Normal
Invoice,INV1020,ACCS-RST-DXBK,Shoulder Rest-Deluxe Black,3,4.55,9.95,ASTORSUI0001,USA-INMI-T2,Posted,RETAIL,Posted,GREG E.,Normal
Invoice,INV1022,PHON-ATT-53BL,Cordless-Attractive 5352-Blue,4,93.55,189.95,PLAZAONE0001,USA-MNWI-T4,Posted,ATT CORD,Posted,SANDRA M.,Normal
Invoice,INV1023,FAXX-CAN-9800,Cantata FaxPhone 9800,10,1197,2399.95,VANCOUVE0001,CAN-ABBCYKNWTT7,Posted,RETAIL,Unposted,ERIN J.,Normal
Invoice,INV1024,ANSW-ATT-1000,Attractive Answering System 1000,1,59.29,119.95,AARONFIT0001,USA-ILMO-T1,Posted,RETAIL,Unposted,PAUL W.,Normal
Invoice,INV1025,ANSW-PAN-1450,Panache KX-T1450 answer,1,50.25,109.95,AARONFIT0001,USA-ILMO-T1,Posted,RETAIL,Unposted,PAUL W.,Normal
Invoice,INVPS1001,PHON-ATT-53WH,Cordless-Attractive 5352-White,1,92.59,189.95,HOLLINGC0001,USA-ILMO-T1,Posted,ATT CORD,Posted,PAUL W.,Normal
Invoice,INVPS1002,ACCS-RST-DXWH,Shoulder Rest - Deluxe White,4,4.55,9.95,BREAKTHR0001,CAN-PQMT-T5,Posted,RETAIL,Posted,FRANCINE B.,Normal
Invoice,INVPS1003,PHON-PAN-2315,Panache KX-T231 wall,2,27.98,59.95,HOLLINGC0001,USA-ILMO-T1,Posted,RETAIL,Unposted,PAUL W.,Normal
Invoice,INVPS1004,PHON-ATT-53BL,Cordless-Attractive 5352-Blue,2,93.55,189.95,LECLERC0001,CAN-PQMT-T5,Posted,ATT CORD,Posted,FRANCINE B.,Normal
Invoice,INVPS1004,FAXX-HLP-5433,Hewlett Packard FAX-310,1,395.1,854.5,LECLERC0001,CAN-PQMT-T5,Posted,,Posted,FRANCINE B.,Normal
Invoice,INVPS1005,HDWR-PNL-0001,Control Panel,1,303.85,609.95,BOYLESCO0001,AUSTRALIA-T8,Posted,RETAIL,Posted,IAN M.,Normal
Invoice,INVPS1006,ANSW-PAN-1450,Panache KX-T1450 answer,1,50.25,109.95,CONTOSOL0001,USA-IAKSNE-T3,Posted,RETAIL,Posted,NANCY B.,Normal
Invoice,INVPS1007,TRAN-STR-N394,"Transistor,2N394",5,9.81,19.95,WESTCENT0001,USA-ILMO-T1,Posted,,Posted,PAUL W.,Normal
Invoice,INVSP1000,PHON-ATT-53BL,Cordless-Attractive 5352-Blue,4,93.55,189.95,PLAZAONE0001,USA-MNWI-T4,Posted,ATT CORD,Unposted,SANDRA M.,Voided
Invoice,INVSP1001,ANSW-PAN-1450,Panache KX-T1450 answer,1,50.25,109.95,LONDONBE0001,NEWZEALAND-T8,Posted,RETAIL,Unposted,IAN M.,Voided
Invoice,INVSP1002,ACCS-CRD-25BK,Phone Cord - 25' Black,1,5.98,19.95,MIDLANDC0001,USA-INMI-T2,Posted,RETAIL,Unposted,GREG E.,Voided
Invoice,INVSP1003,ANSW-ATT-1000,Attractive Answering System 1000,1,59.29,119.95,COMPUTER0001,USA-MNWI-T4,Posted,RETAIL,Posted,SANDRA M.,Normal
Invoice,INVSP1004,HDWR-SRG-0001,Surge Protector Panel,2,18.65,39.95,COUNTRYV0001,NEWZEALAND-T8,Posted,RETAIL,Posted,IAN M.,Normal
Order,ORD1000,PHON-BUS-1250,"Handset,multi-line",1,179.85,359.95,MAGNIFIC0001,CAN-ONMBSK-T6,Posted,RETAIL,Unposted,GARY W.,Normal
Order,ORD1001,PHON-PAN-2315,Panache KX-T231 wall,2,27.98,59.95,HOLLINGC0001,USA-ILMO-T1,Posted,RETAIL,Unposted,PAUL W.,Normal
Order,ORD1002,ACCS-CRD-12WH,Phone Cord - 12' White,1,3.29,9.95,METROPOL0001,USA-MNWI-T4,Posted,RETAIL,Unposted,SANDRA M.,Normal
